Designator,Mid X,Mid Y,Layer,Rotation
C1,182.0,-89.0,T,270.0
C2,182.0,-94.0,T,90.0
C3,140.0,-90.0,T,90.0
C4,136.952,-89.808,T,90.0
C5,137.0,-86.5,T,0.0
D1,185.5,-91.0,T,270.0
D2,183.0,-114.5,T,0.0
D3,193.0,-114.5,T,0.0
J1,204.0,-99.46,T,270.0
J2,204.0,-110.0,T,270.0
J3,202.65,-89.05,T,90.0
J4,148.34,-121.0,T,90.0
J5,126.2475,-89.61,T,0.0
J6,169.725,-121.0,T,90.0
J7,180.475,-121.0,T,90.0
J8,190.5,-121.0,T,90.0
J9,182.65,-78.0,T,90.0
R1,188.5,-89.0,T,270.0
R2,188.5,-93.0,T,90.0
R3,137.0,-102.5,T,180.0
R4,135.3,-106.5,T,0.0
R5,137.0,-111.0,T,0.0
R6,134.412,-89.717,T,270.0
SW1,137.0,-117.0,T,90.0
SW2,137.0,-80.5,T,270.0
SW3,175.0,-80.5,T,270.0
U1,176.0,-91.5,T,0.0
U2,156.0,-96.75,T,90.0
